  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
2003 307    6.71    9.85    9.02   12.41    9.68   10.41
2003 308    6.46    9.75    8.89   12.35    9.48   10.65
2003 309    6.03    9.71    8.81   12.14    9.28   10.41
2003 310    6.01    9.73    8.75   11.88    9.16   10.01
2003 311    5.94    9.62    8.64   11.74    9.11    9.77
2003 312    5.90    9.30    8.41   11.45    9.07    9.30
2003 313    5.89    9.03    8.23   11.11    8.94    8.80
2003 314    5.84    8.82    8.09   10.91    8.73    8.57
2003 315    5.76    8.56    8.01   10.87    8.60    8.59
2003 316    5.71    8.30    7.97   10.83    8.36    8.64
2003 317    5.66    7.98    7.87   10.71    8.03    8.61
2003 318    5.64    7.76    7.72   10.53    7.55    8.48
2003 319    5.61    7.72    7.58   10.33    7.31    8.27
2003 320    5.60    7.68    7.52   10.17    7.37    8.24
2003 321    5.60    7.54    7.46    9.96    7.43    8.09
2003 322    5.61    7.47    7.41    9.78    7.42    7.99
2003 323    5.58    7.45    7.39    9.72    7.42    7.97
2003 324    5.54    7.48    7.37    9.70    7.44    7.94
2003 325    5.51    7.46    7.30    9.64    7.49    7.94
2003 326    5.47    7.32    7.25    9.57    7.47    7.83
2003 327    5.29    7.11    7.17    9.51    7.42    7.55
2003 328    5.07    6.88    6.99    9.41    7.34    7.21
2003 329    4.81    6.69    6.79    9.20    7.22    6.86
2003 330    4.68    6.54    6.65    9.00    7.08    6.48
2003 331    4.58    6.42    6.50    8.77    6.91    6.12
2003 332    4.51    6.28    6.33    8.46    6.67    5.80
2003 333    4.45    6.19    6.20    8.19    6.47    5.54
2003 334    4.42    6.14    6.06    7.94    6.33    5.20
2003 335    4.35    6.05    5.85    7.51    6.19    4.81
2003 336    4.30    5.88    5.71    7.21    5.97    4.59
2003 337    4.31    5.80    5.64    7.06    5.84    4.39
2003 338    4.30    5.73    5.60    6.98    5.77    4.35
2003 339    4.27    5.60    5.59    6.89    5.75    4.36
2003 340    4.25    5.55    5.56    6.65    5.75    4.35
2003 341    4.26    5.57    5.52    6.55    5.72    4.36
2003 342    4.27    5.58    5.51    6.51    5.70    4.36
2003 343    4.21    5.51    5.44    6.51    5.67    4.35
2003 344    4.17    5.45    5.40    6.49    5.64    4.23
2003 345    4.13    5.32    5.34    6.28    5.58    3.63
2003 346    4.04    5.16    4.76    5.38    5.53    0.20
2003 347    4.02    5.06    4.70    5.05    5.46    0.20
2003 348    3.82    4.96    4.63    4.80    5.39    0.20
2003 349    3.68    4.85    4.41    4.49    5.33    0.20
2003 350    3.66    4.69    4.25    4.36    5.26    0.20
2003 351    3.68    4.63    4.13    4.10    5.17    0.20
2003 352    3.69    4.62    4.28    3.99    5.06    0.20
2003 353    3.66    4.61    4.19    3.90    4.93    0.20
2003 354    3.66    4.61    4.18    3.87    4.86    0.20
2003 355    3.66    4.63    4.17    3.87    4.80    0.20
2003 356    3.67    4.61    4.20    3.90    4.79    0.20
2003 357    3.56    4.52    4.08    3.85    4.80    0.20
2003 358    3.56    4.49    4.08    3.80    4.80    0.20
2003 359    3.60    4.47    4.09    3.79    4.79    0.20
2003 360    3.60    4.46    4.01    3.77    4.44    0.20
2003 361    3.61    4.47    4.00    3.74    4.41    0.20
2003 362    3.56    4.46    3.98    3.73    4.45    0.20
2003 363    3.58    4.47    4.02    3.75    4.50    0.20
2003 364    3.57    4.47    4.03    3.76    4.47    0.20
2003 365    3.57    4.46    4.04    3.74    4.39    0.20
